session_id,index,elapsed_time,event_name,name,level,page,room_coor_x,room_coor_y,screen_coor_x,screen_coor_y,hover_duration,text,fqid,room_fqid,text_fqid,fullscreen,hq,music,level_group
20090314221187252,715,863488,cutscene_click,basic,16,,-1254.7186285655162,-106.35701615049852,129.0,423.0,,"Jolie- keep your badger under control, or he'll have to go.",confrontation,tunic.historicalsociety.cage,tunic.historicalsociety.cage.confrontation,1,1,1,13-22
20090317414400068,227,529926,navigate_click,undefined,6,,-53.348500839474895,-80.99999999999997,355.0,411.0,,,archivist,tunic.historicalsociety.frontdesk,,0,0,1,5-12
20100007011166932,286,598287,object_click,basic,8,,397.007683822091,-7.999999999999979,755.0,338.0,,,businesscards.card_1.next,tunic.humanecology.frontdesk,,0,0,1,5-12
20100008103581056,115,430284,notification_click,basic,3,,538.7323302136343,-87.00000000000001,549.0,417.0,,The slip is from 1916 but the team didn't start until 1974!,,tunic.kohlcenter.halloffame,tunic.kohlcenter.halloffame.plaque.face.date,0,0,1,0-4
20100008572266050,1337,3056881,navigate_click,undefined,19,,74.43183842819101,-330.62272960997274,261.0,348.0,,,,tunic.wildlife.center,,0,0,1,13-22
20100012523954740,1304,1509335,object_click,basic,19,,-94.10297169347412,110.11369556601936,314.0,217.0,,,colorbook,tunic.flaghouse.entry,,1,1,1,13-22
20100013511751244,238,470296,object_click,basic,7,,399.239764334489,-7.000000000000008,757.0,337.0,,,businesscards.card_bingo.next,tunic.humanecology.frontdesk,,0,0,1,5-12
20100014151142000,618,1325225,cutscene_click,basic,16,,-775.3229282296945,-165.71573700299498,159.0,467.0,,undefined,confrontation,tunic.historicalsociety.cage,tunic.historicalsociety.cage.confrontation,0,0,1,13-22
20100014511488036,711,1157378,object_click,basic,11,,225.72552760849428,-67.24441974155489,590.0,399.0,,,journals,tunic.historicalsociety.stacks,,0,1,1,5-12
20100015125877780,981,1454060,navigate_click,undefined,21,,-34.162796978297365,-282.0,413.0,612.0,,,tofrontdesk,tunic.library.microfiche,,1,1,1,13-22
20100016032214516,493,716427,navigate_click,undefined,7,,684.0997364873443,-24.884779660802952,859.0,336.0,,,tobasement,tunic.historicalsociety.entry,,1,0,1,5-12
20100016032214516,706,1021017,navigate_click,undefined,11,,504.75034283360327,-96.00000000000004,750.0,426.0,,,,tunic.humanecology.frontdesk,,1,0,1,5-12
20100016263918300,672,2900229,map_hover,basic,9,,,,,,50.0,,tunic.capitol_1,tunic.drycleaner.frontdesk,,1,0,1,5-12
20100017254481760,1410,2330668,navigate_click,undefined,18,,455.6628902082199,-742.6910741612538,290.0,578.0,,,,tunic.wildlife.center,,0,0,1,13-22
20100017263056424,794,1208837,navigate_click,undefined,15,,556.9327596710077,-105.0,872.0,435.0,,,,tunic.historicalsociety.frontdesk,,0,0,1,13-22
20100018164106616,62,110799,notification_click,basic,2,,55.52763235272712,-46.42806661512544,454.0,362.0,,This looks like a clue!,,tunic.historicalsociety.collection,tunic.historicalsociety.collection.tunic.slip,1,0,1,0-4
20100018164106616,554,1233898,cutscene_click,basic,13,,350.79778672559996,-37.81081351471239,621.0,350.0,,"I think it's a flag! Pretty spiffy, eh?",ch3start,tunic.historicalsociety.basement,tunic.historicalsociety.basement.ch3start,1,0,1,13-22
